,Unnamed: 0,name,Pros,Cons
288,288,Dillard's,Pay is good and job is really rewarding g when you make connections with client! (in 1003 reviews)<br/>And Great people that work with your school schedule for those that are part time. (in 235 reviews)<br/>Good benefits and will move you around the store to different departments when you prove yourself. (in 171 reviews)<br/>The pay is ok and sometimes your coworkers may be nice (in 165 reviews)<br/>STarting pay was good but quickly can change (in 124 reviews),poor management and hard to balance work&life (in 665 reviews)<br/>Managers are rude and don’t call you by your name. (in 297 reviews)<br/>long hours once you are not hourly...work 50 to 60 but get paid for a 40 hour week (in 180 reviews)<br/>Upper management is terrible on all levels (in 172 reviews)<br/>The pay starts of decent but when you don\'t meet your sales goals you can get a pay cut or fired. (in 172 reviews)
289,289,Regions Financial,Good benefits if you are hired as a part time working 30+ hour at week. (in 348 reviews)<br/>Good pay and regular raised. (in 154 reviews)<br/>Great people to work with who all share a common desire to serve their customers. (in 133 reviews)<br/>The work/life balance is good (in 79 reviews)<br/>Healthcare is ok and time off is good. (in 77 reviews),poor management and customer service management (in 132 reviews)<br/>Upper management seems disconnected from day to day operations. (in 71 reviews)<br/>Managers give Southerners a bad name and many are just hick morons. (in 56 reviews)<br/>Bonuses and quarterly (in 29 reviews)<br/>My first branch manager was amazing. (in 20 reviews)
290,290,Yum Brands,Great culture and talent. (in 73 reviews)<br/>Great people to work with (in 35 reviews)<br/>Work life balance is good for most of the time (in 28 reviews)<br/>Good benefits and free food (in 27 reviews)<br/>Pay is good. (in 21 reviews),Long hours during busy seasons which don\'t seem to end. (in 13 reviews)<br/>Leadership is amazing and supportive. (in 9 reviews)<br/>Keep around bad managers for too long....and the 30 year veterans don\'t want to change anything and preface sentences with \'Well<br/>that\'s not how we used to do it.\' (in 9 reviews)<br/>Management is disorganized and much of the time you end up wasting time rather than working on beneficial solutions. (in 6 reviews)<br/>The new leadership team doesn\'t make it a priority<br/>especially the new CPO. (in 5 reviews)
291,291,Landstar System,People are nice they want a 20 word minimum but that\'s all I can say and maybe good luck well it wants more (in 11 reviews)<br/>Benefits were good. (in 7 reviews)<br/>It\'s a nice work environment. (in 6 reviews)<br/>Possible to make good money (in 6 reviews)<br/>Work from home<br/>good income and able to help others. (in 6 reviews),Low pay and it\'s all in who you know... (in 17 reviews)<br/>Did I mention they provide NO TRAINING? (in 9 reviews)<br/>there is Corporate Bullying occurring right in front of management and they say nothing. (in 9 reviews)<br/>Work long hours away from family (in 5 reviews)<br/>heck! Upper Management does not listen at all! (in 4 reviews)
292,292,CF Industries Holdings,Pay was good for the job (in 25 reviews)<br/>great people to work with (in 23 reviews)<br/>They provide great benefits. (in 20 reviews)<br/>Great employees (in 5 reviews)<br/>Salary is competitive for area. (in 5 reviews),Bad management. (in 10 reviews)<br/>Very conservative<br/>risk averse culture (in 4 reviews)<br/>Can be challenging work life balance (in 3 reviews)<br/>Long hours<br/>slow decisions by management<br/>not receptive to some changes. (in 3 reviews)<br/>Poor Leadership<br/>Poor Communication<br/>Toxic Culture (in 3 reviews)
293,293,Northern Trust,Good work life balance and (in 481 reviews)<br/>some great people that try very hard but a lot of time let down by managers. (in 254 reviews)<br/>Good benefits and many days off (in 252 reviews)<br/>Good culture and Equality. (in 205 reviews)<br/>Very good work culture and good for Freshers to start (in 161 reviews),Low pay and too many teams only look out for themselves (in 213 reviews)<br/>Too slow to change and low salaries (in 180 reviews)<br/>Certain departments have poor management and there is dead weight that needs to go (in 167 reviews)<br/>Sometimes fails to recognise that a manager is bad with people (in 65 reviews)<br/>Low pay and bonus for the work taken from us (in 62 reviews)
294,294,Robert Half International,Most the people there were great to work with and I enjoyed some of the management. (in 363 reviews)<br/>The training I received initially wasn\'t great but the ongoing training has been second to none. (in 348 reviews)<br/>All the staff were friendly and reached out to let me know how my first day went at my contract job (in 173 reviews)<br/>Also felt that people wanted to see you succeed and my intermediate team was a great group to work with. (in 140 reviews)<br/>The rep eventually convinced me of this contract being a great opportunity and I am here to say he did not lie. (in 126 reviews),pay is low and some of the requirements for promotions or pay increase are not the best. (in 402 reviews)<br/>No benefits and lack of communicatin (in 315 reviews)<br/>poor management we are not cattle please stop shifting contractors off of jobs to work somewhere else (in 281 reviews)<br/>No work/ life balance although it is \'promoted\' I worked from 7:30 to 6:00 and no lunch due to company culture. (in 187 reviews)<br/>Long hours in the beginning but job becomes somewhat flexible if you show a pattern of consistent placements/deals. (in 178 reviews)
295,295,Compass,Great Company and Culture. (in 143 reviews)<br/>Great Benefits and kind leaders (in 116 reviews)<br/>Some of the people you work with are great and I\'ve made some lifelong friends. (in 115 reviews)<br/>Great cultural and great leadership (in 45 reviews)<br/>work life balancing is good (in 42 reviews),Bad management<br/>becoming better (in 35 reviews)<br/>constant layoffs (in 19 reviews)<br/>Low salary<br/>hard to take PTO<br/>leadership out of touch (in 15 reviews)<br/>We\'re growing and with that there\'s a lot to be done = long hours at times. (in 14 reviews)<br/>No training in the industry for beginners (not a con per se but definitely not for inexperienced agents). (in 13 reviews)
296,296,Hasbro,The People are great and friendly and their are always new surprises and work events to take the edge off your day. (in 99 reviews)<br/>Benefits are great (pre (in 53 reviews)<br/>Has a great work life balance (in 44 reviews)<br/>Great culture and fun job (in 38 reviews)<br/>Great team and working environments (in 25 reviews),Very low pay for frontline workers who drive the companies success. (in 30 reviews)<br/>Bad management (my particular case)<br/>not sustainable (in 25 reviews)<br/>Not all managers are great to work for. (in 20 reviews)<br/>Layoffs happen every 5 to 7 years. (in 19 reviews)<br/>The good news though is upper management is aware of most of these and are currently trying to find ways to improve. (in 16 reviews)
299,299,Frontier Communications,Benefits were good as a former Verizon employee until 2011 started and health care was changed. (in 235 reviews)<br/>Good pay and every Tuesday all of management disappear for 3 (in 194 reviews)<br/>The people that you work with are well know ledged and always great about sharing their intel (in 130 reviews)<br/>company offers a good salary (in 30 reviews)<br/>Some great employees within the company who are very knowledgeable and do their job very well. (in 23 reviews),Overall management is poor. (in 124 reviews)<br/>Bad upper management. (in 90 reviews)<br/>The systems are a mess and senior leadership doesn\'t know what to do with the FiOS product. (in 49 reviews)<br/>No training on technology or on the systems. (in 43 reviews)<br/>To many managers that don\'t understand how things really work. (in 32 reviews)
300,300,Ameren,Good benefits and time off (in 79 reviews)<br/>Great people and a desire to invest in the communities they serve. (in 44 reviews)<br/>good pay (has increased for engineers recently) (in 42 reviews)<br/>Great culture in a reliable and valuable field. (in 22 reviews)<br/>I feel very appreciated for my work and feel that I am able to strike a good work/life balance. (in 19 reviews),Management is bad and only cares about productions (in 11 reviews)<br/>Upper management does not value employees. (in 8 reviews)<br/>Whole new layers of senior leadership installed at great cost with little or no awareness of the work going on beneath them and making too (in 7 reviews)<br/>Their diversity is a completely joke. (in 6 reviews)<br/>So many org charts and lots of middle management can make communication difficult. (in 3 reviews)
301,301,Sonic Automotive,Great hours and benefits for the retail car industry (in 38 reviews)<br/>Pay was good and the associates I worked with at the store level were great. (in 29 reviews)<br/>Some great people at the dealership (in 28 reviews)<br/>Good training and earning potential (in 15 reviews)<br/>Good money for lube tech. (in 9 reviews),~ poor management (in 32 reviews)<br/>Long hours and required to work on almost all holidays. (in 31 reviews)<br/>There is no work life balance (in 23 reviews)<br/>The managers are lazy and when they get chewed out they take it out on the employees like it\'s our fault. (in 17 reviews)<br/>Pay is terrible<br/>they play favoritism<br/>upper management is nonexistent<br/>hostile work environment<br/>and most importantly untrust worthy (in 13 reviews)
302,302,eBay,Some great people and some good out of office events (in 473 reviews)<br/>Good benefits and very international (in 395 reviews)<br/>Good work life balance for most people but honestly its cos no one is self motivated anymore. (in 393 reviews)<br/>Great culture and values. (in 283 reviews)<br/>All good and it was a good pay (in 167 reviews),Ebay will probably go out of business due to poor management left to make despotic rules unchecked. (in 197 reviews)<br/>A bad manager can make or break your experience. (in 105 reviews)<br/>Mismanagement and poor leadership which make wrong decisions and fail to realize it until its past due.. (in 82 reviews)<br/>terrible upper management leaves a lot to be desired (in 50 reviews)<br/>long hours but overall decent (in 33 reviews)
303,303,Textron,Good people and usually interesting work. (in 66 reviews)<br/>We were payed well and the benefits were good. (in 48 reviews)<br/>Good work/life balance but with the expectation that you can be called upon for nights/weekend work every once in a while. (in 32 reviews)<br/>Well structured company with good pay (in 31 reviews)<br/>Good salary<br/>time to sit back and relax. (in 17 reviews),Poor management is the only thing I can complain of. (in 28 reviews)<br/>Endless<br/>disruptive layoffs and job redirections without time for healing; corporate restructuring at least every 3 (in 17 reviews)<br/>Poor leadership and under paid (in 13 reviews)<br/>upper management doesn\'t seem to want to listen. (in 11 reviews)<br/>Office politics gone mad. (in 9 reviews)
304,304,Jones Financial (Edward Jones),Great training and every time I called the home office there was someone to help me. (in 345 reviews)<br/>There are alot of benefits for working with a private company and the culture is great. (in 222 reviews)<br/>Great people and great working with branches (in 196 reviews)<br/>benefits were good and the pay made you forget about the lack in support they had until you needed it (in 182 reviews)<br/>Flexibility / Work life balance is great and you’re rewarded for the work you do. (in 128 reviews),The pay is low but it is offset by the flexibility in schedule and internal support to do the job. (in 134 reviews)<br/>Starting salary is low and it will take 3 years of hard work before you make it (in 83 reviews)<br/>long hours in the beginning as you build your business and integrate into your business community. (in 63 reviews)<br/>Micro management from HQ and no flexibility (in 39 reviews)<br/>Antiquated methods<br/>Long hours<br/>can make more elsewhere<br/>limited to what can be sold<br/>is a sales job (in 28 reviews)
305,305,Community Health Systems,Benefits were good st one time but no longer. (in 76 reviews)<br/>The people are great! (in 75 reviews)<br/>Coworkers are great. (in 30 reviews)<br/>Good work Environment (in 18 reviews)<br/>Local hospital employees are great (in 17 reviews),Since then the company has gone down hill and I had to leave due to poor management. (in 98 reviews)<br/>They tell you it you are hired and that the pay is low but you are getting so much experience. (in 69 reviews)<br/>Poor leadership and lack of vision (in 40 reviews)<br/>Upper management awful. (in 30 reviews)<br/>.20 annual raise and low pay. (in 28 reviews)
306,306,Mosaic,The people are great. (in 33 reviews)<br/>Everyone is friendly and welcoming (in 20 reviews)<br/>Get to work with great staff as well as care for these amazing reisdents! (in 18 reviews)<br/>Great training that is specific to the job. (in 15 reviews)<br/>Good pay and enjoyed the client i took care of 27/7.lots of skills I learnded also. (in 14 reviews),Poor management the people in the office do not care about the clients or their well being nor do they care about the employees. (in 24 reviews)<br/>they communication is great they get done everything that needs to be done. (in 6 reviews)<br/>Upper management does not care about the employees<br/>for them it is about the almighty dollar. (in 4 reviews)<br/>Low wages and other budgetary issues working in non (in 4 reviews)<br/>This poor leadership is affecting the agencies by continued poor leadership style being passed down. (in 4 reviews)
308,308,Dick's Sporting Goods,It was a good place to work at and the people you work with are great. (in 530 reviews)<br/>Flexible hours and discounts on products (in 375 reviews)<br/>Great coworkers and fun job (in 353 reviews)<br/>Fun work environment and flexible (in 206 reviews)<br/>They had pretty good benefits and they are one of the largest specialty retailers in the world. (in 196 reviews),Poor management and a lack of willingness to work with school schedules (in 663 reviews)<br/>They don\'t promote from within often and low pay compared to other IT jobs in Pittsburgh (in 472 reviews)<br/>district managers have 0 touch with reality and don’t care about you as a person just what you do for them (in 401 reviews)<br/>Also had no training on anything so it was learn as you go which is not how a store should be run. (in 118 reviews)<br/>Poor upper management. (in 104 reviews)
309,309,Newmont,Good benefits and and could be a good place to work once IT management is replaced! (in 49 reviews)<br/>I worked at their smaller MTF lab and the people there were great. (in 32 reviews)<br/>Pay is good<br/>hours are not terrible (in 30 reviews)<br/>The salaries are good. (in 13 reviews)<br/>Safety focus and one of the best in the world at safety (in 11 reviews),Depending on work location<br/>long hours and demanding but rewarding work is expected. (in 12 reviews)<br/>Oh and constant layoffs. (in 11 reviews)<br/>A lot of nepotism and bad management (in 6 reviews)<br/>They layoff the workers and keep the mass of upper management. (in 4 reviews)<br/>That could be a result of the existing executives being extremely poor at running the company. (in 4 reviews)
310,310,Devon Energy,I get paid very well and the benefits a great! (in 75 reviews)<br/>Great people and company to work with. (in 58 reviews)<br/>Great pay and OKC is a fun place. (in 46 reviews)<br/>Nice building and that is all. (in 15 reviews)<br/>Great work life balance (in 14 reviews),constant layoffs and cyclical environment (in 34 reviews)<br/>Micro management (in 28 reviews)<br/>Lack of vision and leadership (in 15 reviews)<br/>Some middle and upper management is very old school<br/>thinks they know best without listening to the experts on the ground floor. (in 9 reviews)<br/>complaints don\'t seem to be taken seriously by HR or local manager (in 8 reviews)
311,311,Warner Bros. Discovery,The team and the people you work with are great (in 205 reviews)<br/>Great benefits and company overall (in 154 reviews)<br/>The work/life balance was great and it was not bureaucratic at all which was refreshing coming from a larger corporate. (in 53 reviews)<br/>The pay is good and it’s easy to get around and figure out and get a lay of the land (in 53 reviews)<br/>Great culture and a cool workplace. (in 42 reviews),Poor management communication. (in 50 reviews)<br/>Long hours and some bureaucracy (in 46 reviews)<br/>Managers do not personally ask you how your tour went and make assumptions about what happened on your tour (in 29 reviews)<br/>Low salary specially if you don\'t know anyone. (in 27 reviews)<br/>Most annual reviews were barely covered even though upper management required it (in 21 reviews)
312,312,J.B. Hunt Transport Services,Good pay and home time! (in 187 reviews)<br/>People are Great!!!! and helpful (in 139 reviews)<br/>Good benefits and 4 day work weeks. (in 117 reviews)<br/>money and culture is great (in 63 reviews)<br/>Good Work Environment and Good Holiday Cheer. (in 36 reviews),Long hours and lots of traffic (in 110 reviews)<br/>Poor management and workers. (in 107 reviews)<br/>there is No work life balance (in 104 reviews)<br/>Working long hours when necessary with and without rewards. (in 48 reviews)<br/>Some bad managers making good ones look bad (in 47 reviews)
313,313,Alcoa,The good benefits are good (in 92 reviews)<br/>pay is good not bad work (in 66 reviews)<br/>Good people work there and they are positive. (in 63 reviews)<br/>You must negotiate for a good salary because the raises are small but the performance bonus can be very good. (in 30 reviews)<br/>employees are great and easy to get along with (in 14 reviews),Poor Management blinded by personal preferences and prejudice. (in 56 reviews)<br/>There is No work life balance (in 25 reviews)<br/>Upper management is horrible at the Corporate level (in 22 reviews)<br/>Not experienced managers (in 14 reviews)<br/>Long hours and rough conditions (in 12 reviews)
314,314,Peter Kiewit Sons’,Pays good and benefits are good (in 290 reviews)<br/>This can be great for people that like to learn fast and learn by doing. (in 226 reviews)<br/>Good pay and they have good benefits (in 178 reviews)<br/>Great opportunities for those wishing to travel the country and be fully immersed in your work. (in 59 reviews)<br/>Good salary and free lunch for employees (in 57 reviews),Long hours (expected to work at least 10 hours a day) and heavy work loads. (in 242 reviews)<br/>No work/life balance and are shamed if you have to take care of your kids. (in 234 reviews)<br/>they have poor management personal that tend to be buddy buddy with each other that tends to hurt the employees under them (in 107 reviews)<br/>Stressful and always working long hours but its expected from the job (in 100 reviews)<br/>Direct managers don\'t have the power to make the performance review mean anything. (in 41 reviews)
315,315,Aramark,Good pay and for at least 3 days a week you have all the flexibility you need. (in 496 reviews)<br/>Benefits are good and tasks are relatively easy to do (in 454 reviews)<br/>The people I worked with were mostly really great people that I enjoyed working with and helping out when needed. (in 407 reviews)<br/>My coworkers were great and a lot of the people I interacted with were super friendly. (in 150 reviews)<br/>We get free food (leftovers) and you get to know other student employees at Catering on the Charles. (in 129 reviews),Poor management: unorganized so they cause issues with your job although you rarely see them (in 654 reviews)<br/>Long hours and a lot of responsibility with pay that doesn’t reflect the work out in (in 278 reviews)<br/>Poor upper management. (in 221 reviews)<br/>Half of the managers are good but the other half are really horrible. (in 219 reviews)<br/>Employees are expected to work on equipment they have no training on making it unsafe. (in 185 reviews)
316,316,Vistra,manager and colleagues are friendly and good to work with (in 35 reviews)<br/>Working environment is good. (in 16 reviews)<br/>Nice people and ok environment (in 14 reviews)<br/>good team spirits and good benefits (in 12 reviews)<br/>Good work life balance (in 10 reviews),Bad management and they change very freq (in 23 reviews)<br/>low salary and overtime working (in 15 reviews)<br/>Disorganised<br/>almost no bonus<br/>too many people coming and leaving (in 7 reviews)<br/>Young management team with no leadership (in 7 reviews)<br/>Sometimes need to work overtime in peak session<br/>a little bit low pay (in 6 reviews)
317,317,State Street,Good work life balance with the ability to work from home once established as a good performer. (in 508 reviews)<br/>Good benefit 3 weeks paid vacation + health and dental + paid for your continuing study like CPA or CFA (in 499 reviews)<br/>They offer work at home access which is great for people who have a long commute. (in 468 reviews)<br/>You get to work from home and very flexible (in 320 reviews)<br/>good culture and work env (in 115 reviews),The overall work attitude is very negative due to the tedious work and low pay. (in 522 reviews)<br/>Low salary but not too bad (in 446 reviews)<br/>Poor management of conflicts (Management has no interest in resolving conflicts.. they are only concerned about workload being completed or not) (in 341 reviews)<br/>Long hours and lack of staffing (in 167 reviews)<br/>Managers don\'t have time to delegate a task and cannot explain what end result they want. (in 155 reviews)
318,318,Unum Group,Great benefits and people for the most part (in 228 reviews)<br/>Pay is good (in 82 reviews)<br/>Great people at both the Corporate and Field Office level. (in 78 reviews)<br/>Work life balance is great (in 50 reviews)<br/>Flexible<br/>work from home<br/>and quiet. (in 41 reviews),Management has no experience doing they job they are in charge of. (in 47 reviews)<br/>If did the additional training and still didn\'t know the information by then they would terminate me. (in 37 reviews)<br/>some bad managers throughout my years there (in 34 reviews)<br/>Upper management is invisible and I was actually reprimanded once for presenting an idea and not clearing it with my manager first because she wanted to so (in 19 reviews)<br/>Poor leadership often led to conflicting department goals (in 15 reviews)
320,320,Boston Scientific,I worked with great people that were always willing to take the time out to teach me new things. (in 336 reviews)<br/>good benefits and matching 401K (in 292 reviews)<br/>Great culture: Family and health first. (in 191 reviews)<br/>My work life balance is good and respected. (in 184 reviews)<br/>Good Pay and you get paid every week (in 140 reviews),Bad management and multiple managers (in 99 reviews)<br/>But not all managers are bad. (in 56 reviews)<br/>Ups and Downs of stock and lots of layoffs. (in 38 reviews)<br/>Long hours and lack of copmpetence (in 33 reviews)<br/>Top heavy organization and middle to upper management is stagnant. (in 20 reviews)
321,321,Westlake,Good benefits (in 22 reviews)<br/>Pay is good. (in 17 reviews)<br/>Some really great people have been hired and work as a team to accomplish goals. (in 15 reviews)<br/>Quarterly bonuses are a great perk (in 10 reviews)<br/>Friendly work Environment (in 6 reviews),The high management needs to improve the efficiency. (in 8 reviews)<br/>No more 9/80s or work from home days so work life balance took a major hit. (in 6 reviews)<br/>Shift work and long hours (in 4 reviews)<br/>The current culture doesn’t do much for attracting women or POC looking to be in sales or customer facing roles<br/>especially when racism at a customer and inappropriate behavior at a customer towards females have been tolerated. (in 3 reviews)
322,322,Entergy,Pay and benefits are good (in 54 reviews)<br/>The pay is very good for this part of Arkansas.Job is challenging and you have to constantly learn. (in 42 reviews)<br/>Great people to work with. (in 22 reviews)<br/>Decent Salary and Alternate Friday Off are the top Pros.Good company to settled down. (in 10 reviews)<br/>Coworkers were always happy to help and there’s a lot of interesting work for interns (in 9 reviews),You will not get promoted or get a raise unless you are in the buddy program which has created poor management throughout . (in 15 reviews)<br/>Poor work life balance. (in 14 reviews)<br/>Long hours and significant demands (in 9 reviews)<br/>Your direct manager can want to promote you as they know & see what you are doing<br/>but wait<br/>they have to go prove why you should be promoted to the manager above them<br/>then it has to go to director then VP. 3 different people that know nothing of what you truly do day to day. (in 8 reviews)<br/>Bad leadership and line management is all over the company. (in 8 reviews)
323,323,International Flavors & Fragrances,Good benefits if you are hired by the company (in 45 reviews)<br/>People were great and helpful (in 43 reviews)<br/>Nice and friendly colleagues (in 28 reviews)<br/>Good culture in iff jammu plant (in 24 reviews)<br/>Good Pay is available. (in 19 reviews),Management is horrible<br/>no possibility for career growth (in 23 reviews)<br/>No training<br/>no trust<br/>and no interest in setting you up for success. (in 10 reviews)<br/>5) Senior management does not practice what they preach (in 9 reviews)<br/>No career progression<br/>only 2 buses near there (in 8 reviews)<br/>No leadership in HR. (in 8 reviews)
324,324,DaVita,pay was ok and good benefits (in 300 reviews)<br/>Great culture and values and incorporate FUN in the workplace (in 223 reviews)<br/>This position is flexible great for people with children and you can listen to music while you work. (in 184 reviews)<br/>They have Core Values that are aligned with their beliefs!! Just a good place to become part of a team!! (in 133 reviews)<br/>Training was great and very detailed. (in 118 reviews),Pay is low and does not keep up with inflation (in 341 reviews)<br/>Under staffed over worked poor management never enough supplies and the machine do not work most of the time (in 272 reviews)<br/>Long hours up to 20 without any care from management and then you\'re expected to return the next morning bright eyed and bushy tailed. (in 237 reviews)<br/>No work/life balance for frontline and patient (in 114 reviews)<br/>Poor leadership can make job significantly less fulfilling (in 89 reviews)
325,325,Mutual of Omaha Insurance,Good benefits and fair to their employees (in 52 reviews)<br/>The people are great and most are dedicated and willing to listen. (in 50 reviews)<br/>Great culture and very inclusive (in 42 reviews)<br/>The pay was good and tthey were understandable when it came down to attending to family business. (in 40 reviews)<br/>Work life balance is good and they help you get acclimated to the role. (in 29 reviews),Micro Management Structure suffocates organic growth (in 37 reviews)<br/>No salary.. commission only and you pay for expenses (in 29 reviews)<br/>There is no salary to this job. (in 18 reviews)<br/>Upper management is aware of the issue and working on ?resolving<br/>however<br/>a number of the younger staff adhear to the same philosophies and<br/>change in ?general at Mutual takes years. (in 10 reviews)<br/>Leadership is awful. (in 10 reviews)
326,326,Assurant,Good Benefits but not much else at this company. (in 276 reviews)<br/>Great people to work with and if you work hard you will be taken care of (in 150 reviews)<br/>Assurant has great benefits and employees can work from home in any position. (in 104 reviews)<br/>A good work/life balance is respected. (in 58 reviews)<br/>Great culture and values. (in 40 reviews),Management is poor and not capable of completing on larger projects. (in 141 reviews)<br/>Pay is low on that of that avg 15 per hour and now most teams have been cut to two (in 114 reviews)<br/>Managers don\'t care about the employees. (in 66 reviews)<br/>Poor training<br/>Mgmt does not listen to ee\'s<br/>Only concerned with meeting metrics and not concerned with customer experience. (in 42 reviews)<br/>The rapid pace of change in the marketplace was not something that upper management was able to to navigate effectively. (in 42 reviews)
328,328,Hormel Foods,Good pay and housing for interns. (in 71 reviews)<br/>Hormel pays okay and the benefits are good. (in 71 reviews)<br/>Great for people who don’t care about morals but will do whatever it takes to move up quick & make money fast. (in 43 reviews)<br/>Great culture; people are welcoming to questions; work for me as an intern was relevant and tasks that the other auditors would have been doing (in 17 reviews)<br/>Coming out of college the salary is competitive. (in 12 reviews),No work life balance but an awesome group of employees (in 47 reviews)<br/>Long hours and weekends. (in 22 reviews)<br/>Management at the time was poor (in 18 reviews)<br/>Upper management does not align themselves with future growth of employees. (in 13 reviews)<br/>barely any room for growth with no diversity what so ever (in 6 reviews)
330,330,Republic Services,Benefits are good and not a hard job (in 281 reviews)<br/>Good pay and you earn every red cent. (in 219 reviews)<br/>awesome place to work the people are great the company really cares about its workers whether your temp worker or not (in 155 reviews)<br/>They have great training and encourage each employee to develop themselves fully. (in 53 reviews)<br/>Great employee\'s to work with and for. (in 49 reviews),Poor management to work with (in 139 reviews)<br/>long hours necessary to adequately cover specific market areas (in 71 reviews)<br/>No work life balance be prepared to work up to 12 hours a day + Saturdays. (in 60 reviews)<br/>Micro management which evolved completing upper management tasks other jobs that were not in the job description( knocking on doors collecting money<br/>site visits for other business units endless recording of activity\'s that were completely meaningless just to satisfy upper management<br/>reporting the same material in multiple locations to make other members jobs easier<br/>spending 60 (in 44 reviews)<br/>I have engaged direct manager and his manager multiple times with no success. (in 39 reviews)
331,331,Mohawk Industries,The pay was good for what I did (in 91 reviews)<br/>Good Benefits<br/>the healthy life center are great. (in 57 reviews)<br/>Great people and plenty of room to move up (in 46 reviews)<br/>Company gas card and great coworkers. (in 12 reviews)<br/>workers and salary were both good. (in 8 reviews),Poor management and most of the employees are a nightmare to work with. (in 38 reviews)<br/>Upper management is terrible! (in 24 reviews)<br/>Long hours and hard to find babysitters (in 10 reviews)<br/>There was just a lot of favors being done for lazy people just cause they were close to managers and supervisors! (in 10 reviews)<br/>Terrible pay<br/>favoritism big time<br/>family working for the supervisor. (in 9 reviews)
332,332,Conagra Brands,good benefits and vacation packages (in 147 reviews)<br/>The people here are great and nice to work with. (in 141 reviews)<br/>Good Pay and very flexable (in 128 reviews)<br/>Good work / life balance (in 65 reviews)<br/>ConAgra has a good culture for the most part (in 50 reviews),Poor management and policies that make it a difficult place to work (in 68 reviews)<br/>No one in brand pays attention to the brand priority that was given by senior leadership. (in 36 reviews)<br/>Long hours and tons of overtime. (in 34 reviews)<br/>However<br/>I think Sean (new CEO) is an awesome addition to the CAG family and has done a great job integrating himself with the company and staying connecting to everyone through weekly podcasts. (in 29 reviews)<br/>Department Managers have no idea what they\'re doing. (in 25 reviews)
333,333,Norfolk Southern,Pay is good but you are paid for the on call lifestyle and selling your life way for a paycheck. (in 296 reviews)<br/>Great benefits and retirement plan (in 213 reviews)<br/>4. Good retirement that will follow you to another railroad if you decide to change employers (in 82 reviews)<br/>The people were great and very welcoming. (in 62 reviews)<br/>Good salary and they give you a monthly stiffen for your housing<br/> (in 36 reviews),Poor management/ communication (in 132 reviews)<br/>No work life balance and feel tired (in 84 reviews)<br/>hours are long and boring (in 67 reviews)<br/>Upper management is demeaning and obnoxious. (in 39 reviews)<br/>The culture is terrible after years of layoffs and management ignoring employee survey results of how bad things are even though they get them every quarter. (in 23 reviews)
334,334,AES,Most of the people I have worked with are great people to be around both inside and outside of work. (in 56 reviews)<br/>Good Benefits and work balance (in 51 reviews)<br/>Culture is great! (in 28 reviews)<br/>Pay is good (in 24 reviews)<br/>Good Work/Life Balance; (in 17 reviews),Long hours and always on call. (in 12 reviews)<br/>Many managers at all levels are technically capable but lack the soft skills needed for good management. (in 7 reviews)<br/>It does NOT invest time and resources into employee training and career assessment. (in 6 reviews)<br/>Lack of leadership from upper management. (in 6 reviews)<br/>Communication is 1 (in 6 reviews)
335,335,AGCO,Good benefits and PTO. (in 44 reviews)<br/>There are many great people and some teams within the organization that are more forward thinking. (in 37 reviews)<br/>Pay is good and competitive (in 31 reviews)<br/>Competitive salary and package at least for my position. (in 15 reviews)<br/>Good work / life balance for the most part (in 14 reviews),Intuition punished<br/>Static & Dogmatic approach to staff management<br/>Poor prospects<br/>No communication<br/>declining industry. (in 28 reviews)<br/>Of course<br/>it was the employees who actually did the work (not the clueless managers) who lost their jobs. (in 10 reviews)<br/>low salary<br/>too much load work for one person<br/>lack of leadership in management (in 8 reviews)<br/>Communication can always be improved. (in 8 reviews)<br/>incompetent upper management<br/>general unhappiness surrounding staff (in 7 reviews)
336,336,Caesars Entertainment,Good benefits and surely will get your hours. (in 297 reviews)<br/>the people you work with are great I like the fact that I can meet so many different people from all around the world (in 148 reviews)<br/>Pay was good and co (in 147 reviews)<br/>Coworkers are great! (in 59 reviews)<br/>time job and when the money is good it\'s good. (in 50 reviews),2) The job is entirely comprised of trying to back up bad management decisions to the board. (in 168 reviews)<br/>Upper management did not seem to care about taking care of the employees<br/>only focused on the bottom line. (in 66 reviews)<br/>Long hours and salaried (in 52 reviews)<br/>There’s no work life balance and I hated their rejection policy when they reviewed your accounts. (in 47 reviews)<br/>Back Stabber Managers and Directors (in 41 reviews)
337,337,Equitable Holdings,Good benefits and perks all year (in 54 reviews)<br/>Good people to work with (in 50 reviews)<br/>Good work life balance (in 24 reviews)<br/>Good pay for role responsibilities (in 23 reviews)<br/>Work from home<br/>business casual dress code unless in the Manhattan office. (in 16 reviews),Management poor and not experienced (in 30 reviews)<br/>Salary low for responsibilities given (in 17 reviews)<br/>Poor managers who provide no career guidance. (in 17 reviews)<br/>Unfortunately there were constant layoffs. (in 15 reviews)<br/>Upper management is unwilling to be accountable for<br/>or admit to mistakes made in abolishment decisions. (in 8 reviews)
